{'loss': 4.5677, 'grad_norm': 1.8173993825912476, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 4.5753, 'grad_norm': 2.0468482971191406, 'learning_rate': 4e-05, 'epoch': 0.03}
{'loss': 4.7532, 'grad_norm': 1.9427093267440796, 'learning_rate': 8e-05, 'epoch': 0.04}
{'loss': 4.5918, 'grad_norm': 2.541419506072998, 'learning_rate': 0.00012, 'epoch': 0.05}
{'loss': 3.9807, 'grad_norm': 2.550692081451416, 'learning_rate': 0.00016, 'epoch': 0.06}
{'loss': 3.2341, 'grad_norm': 2.1798741817474365, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 2.6956, 'grad_norm': 1.0557900667190552, 'learning_rate': 0.00019991434689507496, 'epoch': 0.09}
{'loss': 2.3962, 'grad_norm': 0.7709888815879822, 'learning_rate': 0.0001998286937901499, 'epoch': 0.1}
{'loss': 2.2923, 'grad_norm': 0.8711299896240234, 'learning_rate': 0.00019974304068522486, 'epoch': 0.12}
{'loss': 2.4668, 'grad_norm': 0.8909720778465271, 'learning_rate': 0.00019965738758029978, 'epoch': 0.13}
{'loss': 2.1003, 'grad_norm': 0.774698793888092, 'learning_rate': 0.00019957173447537473, 'epoch': 0.14}
{'loss': 2.1727, 'grad_norm': 0.541941225528717, 'learning_rate': 0.00019948608137044968, 'epoch': 0.16}
{'loss': 1.9712, 'grad_norm': 0.585742712020874, 'learning_rate': 0.00019940042826552463, 'epoch': 0.17}
{'loss': 1.9396, 'grad_norm': 0.6073547601699829, 'learning_rate': 0.00019931477516059958, 'epoch': 0.18}
{'loss': 1.9307, 'grad_norm': 0.6143487691879272, 'learning_rate': 0.00019922912205567453, 'epoch': 0.19}
{'loss': 1.778, 'grad_norm': 0.6089932918548584, 'learning_rate': 0.00019914346895074948, 'epoch': 0.21}
{'loss': 1.8656, 'grad_norm': 0.6430438756942749, 'learning_rate': 0.00019905781584582443, 'epoch': 0.22}
{'loss': 1.7222, 'grad_norm': 0.6716287136077881, 'learning_rate': 0.00019897216274089935, 'epoch': 0.23}
{'loss': 1.6818, 'grad_norm': 0.5981236100196838, 'learning_rate': 0.0001988865096359743, 'epoch': 0.25}
{'loss': 1.7453, 'grad_norm': 0.696672260761261, 'learning_rate': 0.00019880085653104925, 'epoch': 0.26}
{'loss': 1.629, 'grad_norm': 0.9597340822219849, 'learning_rate': 0.0001987152034261242, 'epoch': 0.27}
{'loss': 1.5649, 'grad_norm': 0.8194429278373718, 'learning_rate': 0.00019862955032119915, 'epoch': 0.28}
{'loss': 1.7201, 'grad_norm': 0.7998963594436646, 'learning_rate': 0.0001985438972162741, 'epoch': 0.3}
{'loss': 1.6145, 'grad_norm': 0.8069279193878174, 'learning_rate': 0.00019845824411134904, 'epoch': 0.31}
{'loss': 1.4893, 'grad_norm': 0.6558146476745605, 'learning_rate': 0.000198372591006424, 'epoch': 0.32}
{'loss': 1.7655, 'grad_norm': 0.6138266324996948, 'learning_rate': 0.00019828693790149894, 'epoch': 0.34}
{'loss': 1.349, 'grad_norm': 0.48090988397598267, 'learning_rate': 0.0001982012847965739, 'epoch': 0.35}
{'loss': 1.6581, 'grad_norm': 0.6130988597869873, 'learning_rate': 0.00019811563169164884, 'epoch': 0.36}
{'loss': 1.525, 'grad_norm': 0.48856738209724426, 'learning_rate': 0.0001980299785867238, 'epoch': 0.38}
{'loss': 1.4791, 'grad_norm': 0.5120625495910645, 'learning_rate': 0.00019794432548179874, 'epoch': 0.39}
{'loss': 1.4402, 'grad_norm': 0.5423834323883057, 'learning_rate': 0.0001978586723768737, 'epoch': 0.4}
{'loss': 1.5218, 'grad_norm': 0.5804497599601746, 'learning_rate': 0.0001977730192719486, 'epoch': 0.41}
{'loss': 1.4508, 'grad_norm': 0.5186442732810974, 'learning_rate': 0.00019768736616702356, 'epoch': 0.43}
{'loss': 1.4411, 'grad_norm': 0.6022453904151917, 'learning_rate': 0.0001976017130620985, 'epoch': 0.44}
{'loss': 1.4252, 'grad_norm': 0.6637604832649231, 'learning_rate': 0.00019751605995717346, 'epoch': 0.45}
{'loss': 1.387, 'grad_norm': 0.5518893599510193, 'learning_rate': 0.0001974304068522484, 'epoch': 0.47}
{'loss': 1.7512, 'grad_norm': 0.667227029800415, 'learning_rate': 0.00019734475374732336, 'epoch': 0.48}
{'loss': 1.4702, 'grad_norm': 0.5504908561706543, 'learning_rate': 0.0001972591006423983, 'epoch': 0.49}
{'loss': 1.3732, 'grad_norm': 0.5063661932945251, 'learning_rate': 0.00019717344753747323, 'epoch': 0.5}
{'loss': 1.4059, 'grad_norm': 0.5493819117546082, 'learning_rate': 0.00019708779443254818, 'epoch': 0.52}
{'loss': 1.4641, 'grad_norm': 0.5689573287963867, 'learning_rate': 0.00019700214132762313, 'epoch': 0.53}
{'loss': 1.4207, 'grad_norm': 0.512453556060791, 'learning_rate': 0.00019691648822269808, 'epoch': 0.54}
{'loss': 1.6078, 'grad_norm': 0.5511524081230164, 'learning_rate': 0.00019683083511777303, 'epoch': 0.56}
{'loss': 1.4338, 'grad_norm': 0.5437543392181396, 'learning_rate': 0.00019674518201284798, 'epoch': 0.57}
{'loss': 1.5774, 'grad_norm': 0.5659343004226685, 'learning_rate': 0.00019665952890792293, 'epoch': 0.58}
{'loss': 1.3021, 'grad_norm': 0.535653829574585, 'learning_rate': 0.00019657387580299788, 'epoch': 0.6}
{'loss': 1.4656, 'grad_norm': 0.5323994755744934, 'learning_rate': 0.0001964882226980728, 'epoch': 0.61}
{'loss': 1.375, 'grad_norm': 0.6842288970947266, 'learning_rate': 0.00019640256959314775, 'epoch': 0.62}
{'loss': 1.3401, 'grad_norm': 0.542560875415802, 'learning_rate': 0.0001963169164882227, 'epoch': 0.63}
{'loss': 1.4822, 'grad_norm': 0.6692820191383362, 'learning_rate': 0.00019623126338329765, 'epoch': 0.65}
